City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
131,Lima,PE,67.89,few clouds,-12.0432,-77.0282,Hotel Kamana
132,Eureka,US,60.21,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
134,Avera,US,51.31,overcast clouds,33.194,-82.5271,
136,Oyem,GA,67.08,overcast clouds,1.5995,11.5793,Commissariat de police
139,Hilo,US,79.25,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
142,Emerald,AU,76.33,broken clouds,-23.5333,148.1667,Emerald Inn
146,Redcliffe,AU,72.9,clear sky,-27.2307,153.0973,Scarborough Beach Resort
147,Portland,US,54.19,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
153,Victoria,HK,75.38,overcast clouds,22.2855,114.1577,Mini Central
154,Puerto Ayora,EC,69.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
156,Salamanca,ES,55.8,light rain,40.8333,-6.0,Palacio Carrascalino
157,Arraial Do Cabo,BR,73.36,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
158,Payakumbuh,ID,69.31,overcast clouds,-0.2202,100.6308,Dalimo Homestay
159,Sao Joao Da Barra,BR,73.49,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
161,Malanje,AO,61.84,overcast clouds,-9.5402,16.341,Hotel Ginga
165,Loreto,MX,75.07,few clouds,22.2667,-101.9667,José de Jesús Velásquez mora
166,Saint-Georges,GD,78.48,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
173,Sao Filipe,CV,77.68,scattered clouds,14.8961,-24.4956,Hotel Xaguate
174,Kruisfontein,ZA,60.89,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
175,Mosquera,CO,57.29,broken clouds,4.7059,-74.2302,Hotel SJ
178,Lebu,CL,57.99,clear sky,-37.6167,-73.65,Hostal Las Lilas
179,Nova Vicosa,BR,74.52,light rain,-17.8919,-39.3719,Pousada Porto do Sol
181,Paita,PE,64.67,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
183,Jalu,LY,62.22,clear sky,29.0331,21.5482,صاحبة الفخامة
185,Ribeira Grande,PT,62.78,broken clouds,38.5167,-28.7,Quinta da Meia Eira
187,East London,ZA,65.7,broken clouds,-33.0153,27.9116,Tu Casa
188,Meulaboh,ID,75.18,moderate rain,4.1363,96.1285,Kost Pria
189,Anqing,CN,55.87,overcast clouds,30.5092,117.0506,Hongtian Hotel
192,Byron Bay,AU,68.7,overcast clouds,-28.65,153.6167,Backpackers Inn
193,Beroroha,MG,74.57,clear sky,-21.6667,45.1667,
194,Chilca,PE,63.66,overcast clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
195,Bondo,CD,68.65,overcast clouds,3.8146,23.6866,
196,Adrar,MR,73.85,clear sky,20.5022,-10.0711,
199,Marzuq,YE,62.19,clear sky,14.4,46.4667,حيد القفلة
202,Sitka,US,53.49,clear sky,57.0531,-135.33,Westmark Sitka
205,Mossendjo,CG,68.77,light rain,-2.9506,12.7261,HOTEL D'ASSISE
209,Fochville,ZA,68.9,scattered clouds,-26.4886,27.4939,Eden Vreugd Guesthouse
210,Bilma,NE,66.16,clear sky,18.6853,12.9164,Expeditions Ténére voyages
212,Soverato,IT,57.15,overcast clouds,38.685,16.5499,Hotel San Domenico
214,Valparaiso,CL,71.83,clear sky,-33.0393,-71.6273,Hotel Ultramar
216,Huarmey,PE,65.35,overcast clouds,-10.0681,-78.1522,Hotel Miramar
218,Machinga,MW,70.45,light rain,-15.1685,35.3,
220,Marsabit,KE,67.62,scattered clouds,2.3284,37.9899,Chicho Hotel
224,Patacamaya,BO,50.2,scattered clouds,-17.2333,-67.9167,RESIDENCIAL ISLA VIGU
225,Chuy,UY,62.22,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
226,Katsuura,JP,60.69,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
227,Imbituba,BR,65.23,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
228,Nacajuca,MX,78.85,light rain,18.1333,-93.0167,Hotel la hoguera
230,Pundaguitan,PH,77.7,moderate rain,6.3711,126.1689,Leonardo Family Beach House 1
231,General Roca,AR,77.63,broken clouds,-39.0333,-67.5833,Hotel El Recreo
232,Axim,GH,77.7,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
233,Allende,MX,50.67,overcast clouds,25.2833,-100.0167,SDS Tracto partes
234,Lodja,CD,69.57,overcast clouds,-3.4833,23.4333,
235,Loa Janan,ID,78.01,overcast clouds,-0.583,117.095,Kost Garuda
236,Barranca,PE,64.15,broken clouds,-10.75,-77.7667,El Olivar Hospedaje
243,Arinos,BR,71.44,scattered clouds,-15.9169,-46.1056,casa do bruno
245,Marawi,PH,69.91,moderate rain,7.9986,124.2928,Derogongan Residence
246,Hirara,JP,73.67,mist,24.8,125.2833,Hotel Atoll Emerald Miyakojima
247,Pisco,PE,66.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
248,Jingdezhen,CN,58.51,overcast clouds,29.2947,117.2079,Garden Hotel
249,Juegang,CN,56.98,overcast clouds,32.3174,121.1855,Rudong Y Hotel
250,Cosala,MX,73.08,broken clouds,24.4125,-106.6908,Hotel Real del Conde
253,Kaitangata,NZ,57.97,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
