City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
600,Tiznit,MA,63.63,broken clouds,29.5833,-9.5,
604,Doka,SD,76.05,clear sky,13.5167,35.7667,منصور عثمان
605,Richards Bay,ZA,71.04,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
606,Kloulklubed,PW,75.7,light rain,7.0419,134.2556,Storyboard Beach Resort
608,Antsohihy,MG,72.66,overcast clouds,-14.8796,47.9875,Hotel de Ville
618,Hauterive,FR,57.96,overcast clouds,46.0901,3.4459,Aletti Palace Hotel
621,Lardos,GR,62.42,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
623,Ancud,CL,53.65,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
624,Havelock,US,55.94,clear sky,34.8791,-76.9013,Sherwood Motel
627,Freetown,SL,78.46,broken clouds,8.484,-13.2299,The Country Lodge Hotel
630,Peniche,PT,65.1,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
631,Yangambi,CD,67.19,light rain,0.8102,24.4336,
634,Poum,NC,79.41,overcast clouds,-20.2333,164.0167,
647,Ciudad Ojeda,VE,79.9,overcast clouds,10.1964,-71.3082,Hotel Holiday
648,Batangafo,CF,72.34,broken clouds,7.3008,18.2833,OCHA Office
649,Mitsamiouli,KM,77.88,broken clouds,-11.3847,43.2844,Foyer ADM
651,Suleja,NG,72.59,clear sky,9.1758,7.1808,Capy Motel
652,Mporokoso,ZM,61.41,light rain,-9.3727,30.125,Kutemwa lodge
658,Ngunguru,NZ,68.81,broken clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
660,Vila Franca Do Campo,PT,64.2,light rain,37.7167,-25.4333,Pestana Bahia Praia
667,Rusape,ZW,61.56,clear sky,-18.5278,32.1284,Surrey Lodge
670,Fenoarivo,MG,62.67,moderate rain,-18.933,47.4354,Skyfol Ambodiafontsy
671,Manono,CD,66.51,overcast clouds,-7.3,27.4167,Hotel hewa bora
672,Manavalakurichi,IN,77.32,overcast clouds,8.1333,77.3,Jebinrio home
673,Manokwari,ID,77.25,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
674,Kaeo,NZ,74.32,light rain,-35.1,173.7833,Bushido Lodge
675,Vaitape,PF,79.48,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
676,Lake City,US,60.62,clear sky,30.1897,-82.6393,Ramada Limited Lake City
