City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Fairbanks,US,64.8378,-147.7164,16.09,87,40,0.0,scattered clouds
79,Lagoa,PT,39.05,-27.9833,62.53,72,50,19.75,scattered clouds
80,Vaini,TO,-21.2,-175.2,82.56,74,20,5.75,few clouds
81,Labrea,BR,-7.2586,-64.7981,75.25,93,94,0.67,overcast clouds
82,Menongue,AO,-14.6585,17.691,63.0,89,29,4.59,scattered clouds
83,Chifeng,CN,42.2683,118.9636,29.19,77,4,4.9,clear sky
84,Port Alfred,ZA,-33.5906,26.891,62.19,95,67,3.0,broken clouds
85,Hobyo,SO,5.3505,48.5268,80.64,74,31,13.56,scattered clouds
86,Bud,US,39.447,-86.1758,32.76,68,99,12.88,overcast clouds
87,Berlevag,NO,70.8578,29.0864,42.8,53,80,15.86,broken clouds
88,Masuguru,TZ,-11.3667,38.4167,76.15,72,13,5.17,few clouds
89,Moerai,PF,-22.4333,-151.3333,70.88,65,100,4.36,overcast clouds
90,Skibbereen,IE,51.55,-9.2667,45.1,86,100,8.37,overcast clouds
91,Ouango,CF,4.3133,22.5552,68.5,78,100,0.98,overcast clouds
92,Punta Arenas,CL,-53.15,-70.9167,53.71,47,75,4.61,broken clouds
93,Awbari,LY,26.5921,12.7805,60.49,33,29,5.64,scattered clouds
94,Ulladulla,AU,-35.35,150.4667,59.77,45,21,9.8,few clouds
95,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,75.15,39,0,6.29,clear sky
96,Choya,RU,52.0108,86.5467,26.67,71,100,3.11,overcast clouds
97,Beringovskiy,RU,63.05,179.3167,31.33,92,100,4.03,overcast clouds
98,Urengoy,RU,65.9667,78.3667,-0.49,96,86,4.81,overcast clouds
99,Tuatapere,NZ,-46.1333,167.6833,60.62,82,100,4.21,overcast clouds
100,Iquique,CL,-20.2208,-70.1431,66.24,73,12,3.22,few clouds
101,Tuktoyaktuk,CA,69.4541,-133.0374,12.2,79,75,11.5,broken clouds
102,Klobuck,PL,50.9008,18.9367,36.05,87,100,12.41,overcast clouds
103,Ahipara,NZ,-35.1667,173.1667,69.28,63,56,8.77,broken clouds
104,Adjumani,UG,3.3779,31.7909,67.82,93,100,2.66,overcast clouds
105,Alice Springs,AU,-23.7,133.8833,69.35,73,40,9.22,scattered clouds
106,Springbok,ZA,-29.6643,17.8865,53.82,79,12,2.68,few clouds
107,Turukhansk,RU,65.8167,87.9833,-37.43,100,88,0.81,overcast clouds
108,Asfi,MA,32.2994,-9.2372,64.47,80,47,1.83,scattered clouds
109,Tupik,RU,54.4253,119.9327,13.84,96,100,1.5,light snow
110,Labuhan,ID,-6.8844,112.2051,81.37,79,100,4.83,overcast clouds
111,Hermanus,ZA,-34.4187,19.2345,52.81,72,95,3.65,overcast clouds
112,Maarianhamina,AX,60.0973,19.9348,33.66,86,100,5.75,overcast clouds
113,Saldanha,ZA,-33.0117,17.9442,55.45,77,70,16.51,broken clouds
114,Carnarvon,AU,-24.8667,113.6333,67.39,58,100,15.28,overcast clouds
